All,Όλα
"Cannot delete credit limit with id %1","Δεν είναι δυνατή η διαγραφή του πιστωτικού ορίου με id %1"
Allocated,Κατανεμήθηκε
Updated,Ενημερώθηκε
Purchased,Αγοράστηκαν
Reimbursed,Επιστράφηκε
Reverted,Επανήλθαν
"Could not save history","Δεν ήταν δυνατή η αποθήκευση του ιστορικού"
"Cannot delete history with id %1","Δεν είναι δυνατό να διαγράψετε το ιστορικό με id %1"
"Could not save company credit limit","Δεν ήταν δυνατή η αποθήκευση του πιστωτικού ορίου της εταιρείας"
"Please enter a valid %1/%2 currency rate.","Εισαγάγετε μια έγκυρη ισοτιμία %1/%2."
"Invoice created for %1","Τιμολόγιο για %1 δημιουργήθηκε"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","Το επιλεγμένο πιστωτικό νόμισμα δεν είναι έγκυρο.
                         Οι πελάτες δεν θα μπορούν να πραγματοποιούν παραγγελίες μέχρι να ενημερώσετε το νόμισμα πίστωσης."
"Store Credit",Πίστωση
"Refund to Company Credit","Επιστροφή Χρημάτων στο Πιστωτικό Εταιρείας"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","Δεν μπορεί να εκδοθεί τιμολόγιο για μερικές ποσότητες για αυτήν την παραγγελία. Για να συνεχίσετε, αλλάξτε την καθορισμένη ποσότητα στην πλήρη ποσότητα."
"We refunded %1 online.","Επιστρέψαμε το %1 σε σύνδεση."
"We refunded %1 offline.","Επιστρέψαμε το %1 χωρίς σύνδεση."
"We refunded %1 to the company credit.","Επιστρέψαμε το %1 στο πιστωτικό της εταιρείας."
"Exception message.","Μήνυμα εξαίρεσης."
"Exception Message","Μήνυμα Εξαίρεσης"
"No such entity","Καμία τέτοια οντότητα"
"%1 made an update. %2 can exceed the Credit Limit.","Το %1 έκανε μια ενημέρωση. Το %2 μπορεί να υπερβεί το Πιστωτικό Όριο."
"%1 made an update. %2 cannot exceed the Credit Limit.","Το %1 έκανε μια ενημέρωση. Το %2 δεν μπορεί να υπερβεί το Πιστωτικό Όριο."
"Order # %1","Παραγγελία # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 άλλαξε το νόμισμα πίστωσης από %2 σε %3 με την τιμή μετατροπής %2/%3 %4."
"Outstanding Balance:","Υπόλοιπο Εξόφλησης:"
"Available Credit:","Διαθέσιμη Πίστωση:"
"Credit Limit:","Πιστωτικό Όριο:"
"Custom Reference Number","Προσαρμοσμένος Αριθμός Αναφοράς"
"Charged off the company credit: %1","Χρεώθηκε από το πιστωτικό της εταιρείας: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","Το βασικό νόμισμα για το %1 έχει ενημερωθεί. Το νόμισμα %2 εξακολουθεί να ορίζεται ως το νόμισμα πίστωσης για μία ή περισσότερες εταιρείες. Χρησιμοποιήστε τον παρακάτω <a href=""%3"" id=""update-credit-link"">σύνδεσμο</a> για να εκτελέσετε μια μαζική ενέργεια που ενημερώνει το νόμισμα πίστωσης για αυτές τις εταιρείες."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 έχει υπερβεί το πιστωτικό όριο (%2) κατά %3. Το οφειλόμενο υπόλοιπο, συμπεριλαμβανομένης αυτής της παραγγελίας, ανέρχεται τώρα σε %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Το πιστωτικό όριο για το %1 είναι %2. Το οφειλόμενο υπόλοιπο, συμπεριλαμβανομένης αυτής της παραγγελίας, ανέρχεται επί του παρόντος σε %3"
"Outstanding Balance","Υπόλοιπο Εξόφλησης"
"Available Credit","Διαθέσιμη Πίστωση"
"Credit Limit","Πιστωτικό Όριο"
"Charged off the company credit","Χρεώθηκε από το πιστωτικό της εταιρείας"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Το πιστωτικό της Εταιρείας σε όλες τις επιλεγμένες εταιρείες θα μετατραπεί χρησιμοποιώντας την παρακάτω τιμή. Αυτή η λειτουργία δεν μπορεί να ανακληθεί."
"Credit allocated to %company_name","Η πίστωση αντιστοιχεί σε %company_name"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Η εταιρεία σας έχει λάβει πίστωση %available_credit.
     Τώρα μπορείτε να χρησιμοποιήσετε τη μέθοδο πληρωμής στο λογαριασμό για να πραγματοποιήσετε παραγγελίες."
"The history of your credit operations is available on the Company Credit page.","Το ιστορικό των πιστωτικών σας πράξεων είναι διαθέσιμο στη σελίδα Εταιρική Πίστωση."
"%company_name account reimbursed","λογαριασμός %company_name έχει επιστραφεί"
"Your company credit account has been reimbursed by %reimbursed_amount.","Στο λογαριασμό πίστωσης της εταιρείας σας έχει επιστραφεί %refunded_amount."
"%company_name credit limit updated","Το όριο πίστωσης %company_name ενημερώθηκε"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Το πιστωτικό σας όριο έχει ενημερωθεί και είναι τώρα %available_credit.
     Το οφειλόμενο υπόλοιπό σας ανέρχεται σήμερα στο %outstanding_balance. Είστε %exceed_limit για να υπερβείτε το πιστωτικό όριο."
"Order %order_id refunded","Παραγγελία %order_id επιστράφηκε"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Μια επιστροφή του %refunded_amount έχει εκδοθεί με παραγγελία #%order_id. Το ποσό αυτό έχει εφαρμοστεί στην πίστωση της εταιρείας."
"Order %order_id reverted","Παραγγελία %order_id επαναφέρθηκε"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Η παραγγελία σας #%order_id έχει ακυρωθεί. Το ποσό της παραγγελίας επανήλθε στο πιστωτικό της εταιρείας."
"Available Credit ","Διαθέσιμη Πίστωση "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Η μέθοδος πληρωμής στο λογαριασμό δεν είναι διαθέσιμη στο επιλεγμένο νόμισμα. Επικοινωνήστε με τον πωλητή."
"Company credit account will be charged: ","Πιστωτικός λογαριασμός εταιρείας θα χρεωθεί: "
"Cancel the Order","Ακύρωση της Παραγγελίας"
"This is a required field.","Αυτό το πεδίο είναι υποχρεωτικό."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Ποσοστό"
Reimburse,Επιστροφή
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (a-z ή A-Z), αριθμών (0-9), παύλας (-) ή καθέτου (/) σε αυτό το πεδίο."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","Το πιστωτικό όριο για το %s είναι %s. Θα γίνει υπέρβαση κατά %s με αυτήν την παραγγελία."
"Payment on Account","Πληρωμή σε Λογαριασμό"
"Company Credit Change Email Sender","Αποστολέας Email Αλλαγής Πιστωτικού Εταιρείας"
"Send Company Credit Change Email Copy To","Αποστείλετε Αντίγραφο Email Αλλαγής Πιστωτικού Εταιρείας Σε"
"Allocated Email Template","Προκαθορισμένο Πρότυπο Email"
"This email is sent to the Company Admin.","Αυτό το μήνυμα ηλεκτρονικού ταχυδρομείου αποστέλλεται στον Διαχειριστή της Εταιρείας."
"Updated Email Template","Ενημερωμένο Πρότυπο Email"
"Reimbursed Email Template","Πρότυπο Email Επιστροφής"
"Refunded Email Template","Πρότυπο Email Επιστροφής"
"Reverted Email Template","Πρότυπο Email Επαναφοράς"
"Credit Currency","Νόμισμα Πιστωτικού"
"Allow To Exceed Credit Limit","Να Επιτρέπεται η Υπέρβαση του Πιστωτικού Ορίου"
"Reason For Change","Αιτία Για Αλλαγή"
"
                            Limit one PO number per reimburse transaction
                        ","
Περιορίστε έναν αριθμό PO ανά συναλλαγή αποπληρωμής                        "
"
                                Maximum 255 characters are allowed.
                        ","
Επιτρέπονται μέγιστο 255 χαρακτήρες.                        "
Rate,Ποσοστό
"Convert Credit","Μετατροπή Πίστωσης"
Date,Ημερομηνία
Operation,Λειτουργία
"Updated By","Ενημερώθηκε Από"
"You will be charged for","Θα χρεωθείτε για"
"All Payment Methods","Όλοι οι Τρόποι Πληρωμής"
"B2B Payment Methods","B2B Μέθοδοι Πληρωμής"
"All Enabled Payment Methods","Όλοι οι Ενεργοί Τρόποι Πληρωμής"
" (disabled)"," (απενεργοποιημένο)"
"Available Payment Methods","Διαθέσιμοι Τρόποι Πληρωμής"
"This company has no payment methods. Please contact store administrator.","Αυτή η εταιρία δεν έχει τρόπους πληρωμής. Παρακαλούμε επικοινωνήστε με τον διαχειριστή καταστήματος."
"Default B2B Payment Methods","Προεπιλεγμένοι B2B Τρόποι Πληρωμής"
"Applicable Payment Methods","Εφαρμοσμένοι Τρόποι Πληρωμής"
"Payment Methods","Τρόποι Πληρωμής"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Από προεπιλογή, οι επιλεγμένοι τρόποι πληρωμής είναι διαθέσιμοι για όλες τις νέες εταιρίες. Αν ο Magento ιστότοπός σας έχει πολλές τοποθεσίες Web, σε ένα συγκεκριμένο ιστότοπο ο αγοραστής θα είναι σε θέση να πληρώσει με τους τρόπους που είναι διαθέσιμοι για αυτόν τον ιστότοπο μόνο."
"Payment Information (View)","Στοιχεία Πληρωμής (Προβολή)"
"Use config settings","Χρήση ρυθμίσεων διαμόρφωσης"
"Default Config","Προεπιλεγμένη Ρύθμιση"
"Save Config","Αποθήκευση Ρυθμίσεων"
"Use system value","Χρήση τιμής συστήματος"
"Use Website","Χρήση Ιστοσελίδας"
Add,Προσθήκη
"Delete File","Διαγραφή Αρχείου"
"Search String","Συμβολοσειρά αναζήτησης"
"Design Theme","Σχεδίαση Θέματος"
"Add \Exception","Προσθήκη \Εξαίρεσης"
"-- No Theme --","--Χωρίς Θέμα--"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Η κλάση για το τύπο ""%1"" δεν δηλώθηκε. Εισάγετε την κλάση και δοκιμάστε ξανά."
"%1 should implement %2","%1 πρέπει να εφαρμόζει %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Η τιμή που έχετε ορίσει έχει ήδη κλειδωθεί. Για να αλλάξετε την τιμή, χρησιμοποιήστε την επιλογή --%1."
"You saved the configuration.","Έχετε αποθηκεύσει τις ρυθμίσεις παραμέτρων."
"Something went wrong while saving this configuration:","Κάτι πήγε στραβά κατά την αποθήκευση αυτής της ρύθμισης παραμέτρων:"
"Please specify the admin custom URL.","Παρακαλούμε να προσδιορίσετε την προσαρμοσμένη διεύθυνση URL διαχείρισης."
"Invalid %1. %2","%1 δεν είναι έγκυρη. %2"
"Value must be a URL or one of placeholders: %1","Η Τιμή πρέπει να είναι μια διεύθυνση URL ή ένα από τα σύμβολα κράτησης θέσης: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Καθορίστε μια διεύθυνση URL ή το μονοπάτι που ξεκινά με πλαίσια κράτησης θέσης: %1, και τελειώνει με ""/""."
"%1 An empty value is allowed as well.","%1 επιτρέπεται επίσης μια κενή τιμή."
"Specify a fully qualified URL.","Καθορίστε ένα έγκυρο URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Το επιτρεπόμενο επιλεγμένο νόμισμα ""%1"" δεν είναι διαθέσιμο στα εγκατεστημένα νομίσματα."
"Default display currency ""%1"" is not available in allowed currencies.","Η προεπιλεγμένη προβολή νομίσματος ""%1"" δεν είναι διαθέσιμη στα επιτρεπόμενα νομίσματα."
"Sorry, we haven't installed the base currency you selected.","Λυπούμαστε, δεν εγκαταστήθηκε το βασικό νόμισμα που επιλέξατε."
"Sorry, we haven't installed the default display currency you selected.","Λυπούμαστε, δεν εγκαταστήθηκε το προεπιλεγμένο νόμισμα που επιλέξατε."
"Sorry, the default display currency you selected is not available in allowed currencies.","Λυπούμαστε, το προεπιλεγμένο νόμισμα οθόνης που επιλέξατε δεν είναι διαθέσιμο σε επιτρεπόμενα νομίσματα."
"The ""%1"" email address is incorrect. Verify the email address and try again.","Η διεύθυνση email ""%1"" δεν είναι έγκυρη. Επιβεβαιώστε την διεύθυνση email και δοκιμάστε ξανά."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Το όνομα αποστολέα ""%1"" δεν είναι έγκυρo. Παρακαλούμε χρησιμοποιήστε μόνο ορατούς χαρακτήρες και κενά διαστήματα."
"Maximum sender name length is 255. Please correct your settings.","Το μέγιστο μήκος Ονόματος αποστολέα είναι 255. Παρακαλώ διορθώστε τις ρυθμίσεις σας."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Το αρχείο που προσπαθείτε να φορτώσετε υπερβαίνει το όριο μεγέθους του διακομιστή των %1 kilobyte."
"The base directory to upload file is not specified.","Ο Φάκελος βάσης για να ανεβάσετε το αρχείο δεν έχει καθοριστεί."
"The specified image adapter cannot be used because of: %1","Ο καθορισμένος προσαρμογέας εικόνας δεν μπορεί να χρησιμοποιηθεί λόγω της: %1"
"Default scope","Προεπιλεγμένο εύρος"
"Base currency","Βασικό νόμισμα"
"Display default currency","Προβολή προεπιλεγμένου νομίσματος"
"website(%1) scope","ιστοσελίδα(%1) πεδίο εφαρμογής"
"store(%1) scope","Κατάστημα (%1) πεδίο εφαρμογής"
"Currency ""%1"" is used as %2 in %3.","Νόμισμα ""%1"" χρησιμοποιείται ως %2 σε %3."
"The time zone is incorrect. Verify the time zone and try again.","Η ζώνη ώρας είναι εσφαλμένη. Επαληθεύστε τη ζώνη ώρας και προσπαθήστε ξανά."
"The ""%1"" file doesn't exist.","Το αρχείο ""%1"" δεν υπάρχει."
"The ""%1"" path doesn't exist. Verify and try again.","Η διαδρομή ""%1"" δεν υπάρχει. Επαληθεύστε και δοκιμάστε ξανά."
"Always (during development)","Πάντα (κατά τη διάρκεια της ανάπτυξης)"
"Only Once (version upgrade)","Μόνο μια φορά (έκδοση αναβάθμισης)"
"Never (production)","Ποτέ (παραγωγή)"
Bcc,"""Ιδιαίτ."""
"Separate Email","Ξεχωριστό Email"
"%1 (Default)","%1 (προεπιλογή)"
title,τίτλος
Optional,Προαιρετικό
"HTTP (unsecure)","HTTP (μη ασφαλές)"
"Yes (302 Found)","Ναι (βρέθηκαν 302)"
"Yes (301 Moved Permanently)","Ναι (301 μεταφέρονται οριστικά)"
Specified,Καθορίστηκαν
"Visible section not found.","Ορατό τμήμα δεν βρέθηκε."
"Config form fieldset clone model required to be able to clone fields","Το μοντέλο κλόνου συνόλου πεδίων ρυθμίσεων απαιτείται για να κλωνοποιήσετε τα πεδία"
"%1: Instance of %2 is expected, got %3 instead","%1: Αναμένεται η εμφάνιση του %2, αντί του ληφθέντος %3"
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","""Το XML στο αρχείο ""%1"" δεν είναι έγκυρο:'. ""\n%2\nΕλέγξτε το XML και δοκιμάστε ξανά."""
"'There is no defined type ' .","'Δεν υπάρχει καθορισμένος τύπος '."
"'Object is not instance of ' .","'Το αντικείμενο δεν είναι παρουσία του ' ."
"Some error","Κάποιο λάθος"
"Some message","Κάποιο μήνυμα"
"You cannot run this command because the Magento application is not installed.","Δεν μπορείτε να εκτελέσετε αυτήν την εντολή, επειδή δεν έχει εγκατασταθεί η εφαρμογή Magento."
"This command is unavailable right now.","Η εντολή δεν είναι διαθέσιμη αυτή τη στιγμή."
"The ""test/test/test"" path does not exists","Η διαδρομή ""test/test/test"" δεν υπάρχει"
"The  ""%1"" path doesn't exist. Verify and try again.","Η διαδρομή ""%1"" δεν υπάρχει. Επαληθεύστε και προσπαθήστε ξανά."
"some prefix","κάποιο πρόθεμα"
"element label","ετικέτα στοιχείου"
"element hint","υπόδειξη στοιχείου"
"element comment","σχόλιο στοιχείου"
"element tooltip","επεξήγηση στοιχείου"
test2,δοκιμή2
"Add after","Προσθήκη μετά"
"Current Configuration Scope:","Τρέχον πεδίο ρύθμισης παραμέτρων:"
"Group Label","Ετικέτα Ομάδας"
"Some Label","Κάποια ετικέτα"
"Tab Label","Ετικέτα Καρτέλας"
"Field 2","Πεδίο 2"
"Field 3","Πεδίο 3"
"Field 3.1","Πεδίο 3.1"
"Field 3.1.1","Πεδίο 3.1.1"
"Field 4","Πεδίο 4"
"Advanced Section","Ενότητα για προχωρημένους"
"Advanced Admin Section","Ενότητα για Προχωρημένους Διαχειριστές"
"Design Section",Σχεδιαστήριο
"General Section","Γενικό Τμήμα"
"System Section","Τμήμα συστήματος"
"Currency Setup Section","Ενότητα Διαμόρφωσης Νομίσματος"
"Developer Section","Ενότητα Προγραμματιστή"
"Web Section","Τμήμα Web"
"Store Email Addresses Section","Ενότητα Διευθύνσεων Email Καταστήματος"
"Email to a Friend","Αποστολή σε έναν φίλο"
"Product with assigned super attributes should not have specified ""%1"" value","Προϊόν με ανατεθειμένα σούπερ χαρακτηριστικά δεν πρέπει να έχουν καθορισμένη τιμή ""%1"""
"Add configurable attributes to the current Attribute Set (""%1"")","Προσθέσετε διαμορφώσιμα χαρακτηριστικά στο τρέχον σύνολο χαρακτηριστικών (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Προσθέστε διαμορφώσιμα χαρακτηριστικά στο νέο Σύνολο Χαρακτηριστικών βάσει τρέχοντος"
"New attribute set name","Όνομα νέου συνόλου χαρακτηριστικών"
"Add configurable attributes to the existing Attribute Set","Προσθέσετε διαμορφώσιμα χαρακτηριστικά στο υπάρχον Σύνολο Χαρακτηριστικών"
"Choose existing Attribute Set","Επιλέξτε υπάρχον Σύνολο Χαρακτηριστικών"
Configurations,"Ρυθμίσεις παραμέτρων"
"Attribute Values","Τιμές Χαρακτηριστικού"
"Bulk Images &amp; Price","Μαζικές Εικόνες &amp; Τιμή"
"Select Attributes","Επιλέξτε χαρακτηριστικά"
"Choose an Option...","Επιλέξτε μια ενέργεια..."
"This attribute is used in configurable products.","Το χαρακτηριστικό αυτό χρησιμοποιείται σε διαμορφώσιμα προϊόντα."
"The product is already attached.","Το προϊόν είναι ήδη συνδεδεμένο."
"The parent product doesn't have configurable product options.","Το γονικό προϊόν δεν διαθέτει επιλογές προϊόντος με δυνατότητα παραμετροποίησης."
"The child product doesn't have the ""%1"" attribute value. Verify the value and try again.","Το προϊόν παιδί δεν έχει την τιμή του χαρακτηριστικού ""%1"". Επαληθεύστε την τιμή και δοκιμάστε ξανά."
"The product with the ""%1"" SKU isn't a configurable product.","Το προϊόν με SKU ""%1"" δεν είναι διαμορφώσιμο προϊόν."
"The ""%1"" entity that was requested doesn't exist. Verify the entity and try again.","Η οντότητα ""%1"" που ζητήθηκε δεν υπάρχει. Επιβεβαιώστε την οντότητα και δοκιμάστε ξανά."
"The variations from the ""%1"" product can't be deleted.","Οι παραλλαγές από το προϊόν ""%1"" δεν μπορούν να διαγραφούν."
"Option with id ""%1"" not found","Επιλογή με id ""%1"" δεν βρέθηκε"
"An error occurred while saving the option. Please try to save again.","Παρουσιάστηκε ένα σφάλμα κατά την αποθήκευση της επιλογής. Παρακαλούμε δοκιμάστε να σώσετε ξανά."
"This is implemented for the ""%1"" configurable product only.","Αυτό εφαρμόζεται μόνο για το διαμορφώσιμο προϊόν ""%1""."
"Option attribute ID is not specified.","ID Επιλογής χαρακτηριστικού δεν έχει καθοριστεί."
"Option label is not specified.","Δεν έχει καθοριστεί η επιλογή ετικέτας."
"Option values are not specified.","Δεν έχουν καθοριστεί οι τιμές επιλογών."
"Value index is not specified for an option.","Ο δείκτης τιμής δεν ορίζεται για μια επιλογή."
"Product with id ""%1"" does not contain required attribute ""%2"".","Το προϊόν με id ""%1"" δεν περιέχει απαιτούμενο χαρακτηριστικό ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Τα προϊόντα ""%1"" και ""%2"" έχουν το ίδιο σύνολο τιμών χαρακτηριστικών."
"You can't add the item to shopping cart.","Δεν μπορείτε να προσθέσετε το στοιχείο στο καλάθι αγορών."
"Some product variations fields are not valid.","Ορισμένα πεδία παραλλαγών του προϊόντος δεν είναι έγκυρα."
"Contribution must have attributes specified. Enter attributes and try again.","Η συνεισφορά πρέπει να έχει καθορισμένα χαρακτηριστικά. Εισαγάγετε χαρακτηριστικά και δοκιμάστε ξανά."
"Choose Affected Attribute Set","Επιλέξτε Επηρεαζόμενο Σύνολο Χαρακτηριστικών"
"Add configurable attributes to the current Attribute Set","Προσθέσετε διαμορφώσιμα χαρακτηριστικά στο τρέχον σύνολο χαρακτηριστικών"
Confirm,Επιβεβαίωση
"New Attribute Set Name","Όνομα Νέου Συνόλου Χαρακτηριστικών"
"Select Associated Product","Επιλέξτε το σχετικό προϊόν"
"Choose a new product to delete and replace the current product configuration.","Επιλέξτε ένα νέο προϊόν, να διαγράψετε και να αντικαταστήσετε την τρέχουσα ρύθμιση παραμέτρων του προϊόντος."
"For better results, add attributes and attribute values to your products.","Για καλύτερα αποτελέσματα, να προσθέσετε χαρακτηριστικά και τιμές χαρακτηριστικών στα προϊόντα σας."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Τα διαμορφώσιμα προϊόντα επιτρέπουν στους πελάτες να επιλέγουν ιδιότητες (πx: χρώμα πουκάμισου). Πρέπει να δημιουργήσετε ένα απλό προϊόν για κάθε διαμόρφωση (πχ: ένα προϊόν για κάθε χρώμα)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","Ρυθμίσεις παραμέτρων δεν μπορεί να δημιουργηθεί τυποποιημένα προϊόντα με δυνατότητα λήψης αρχείων. Για να δημιουργήσετε συνθέσεις, πρέπει πρώτα να καταργήσετε όλα τα αρχεία με δυνατότητα λήψης."
"Add Products Manually","Προσθέστε προϊόντα με μη αυτόματο τρόπο"
"Create Configurations","Δημιουργία Παραμέτρων"
"Current Variations","Τρέχουσες Παραλλαγές"
Weight,Βάρος
"Custom options with price type ""percent"" is not available for configurable product.","Προσαρμοσμένες επιλογές με τύπο τιμής ""τοις εκατό"" δεν είναι διαθέσιμες για το διαμορφώσιμο προϊόν."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Αυτή η ομάδα περιέχει χαρακτηριστικά που χρησιμοποιούνται σε προϊόντα διαμορφώσιμα. Παρακαλούμε να μετακινήσετε αυτά τα χαρακτηριστικά σε μια άλλη ομάδα και να προσπαθήστε ξανά."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Το χαρακτηριστικό αυτό χρησιμοποιείται σε διαμορφώσιμα προϊόντα. Δεν μπορείτε να το καταργήσετε από το σύνολο χαρακτηριστικών."
"Associated Products","Συσχετιζόμενα προϊόντα"
"Step 2: Attribute Values","Βήμα 2: Τιμές χαρακτηριστικού"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Μπορείτε να επιλέξετε τιμές από κάθε χαρακτηριστικό για να συμπεριληφθεί σε αυτό το προϊόν. Κάθε μοναδικός συνδυασμός τιμών δημιουργεί ένα μοναδικό SKU προϊόντος."
"Sort Variations","Ταξινόμηση Παραλλαγών"
Options,Επιλογές
"Deselect All","Αποεπιλογή όλων"
"Remove Attribute","Διαγραφή Χαρακτηριστικού"
"Save Option","Αποθήκευση επιλογής"
"Remove Option","Κατάργηση επιλογής"
"Create New Value","Δημιουργήστε νέα τιμή"
"Step 3: Bulk Images, Price and Quantity","Βήμα 3: Μαζικές Εικόνες, Τιμές και Ποσότητες"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Με βάση τις επιλογές σας, θα δημιουργηθούν νέα προϊόντα %1. Χρησιμοποιήστε αυτό το βήμα για να προσαρμόσετε τις εικόνες και την τιμή για τα νέα προϊόντα."
"Apply single set of images to all SKUs","Εφαρμογή ξεχωριστής δέσμη εικόνων σε όλα τα SKU"
"Apply unique images by attribute to each SKU","Εφαρμογή μοναδικών εικόνων από το χαρακτηριστικό για κάθε SKU"
"Skip image uploading at this time","Παραλείψτε το φόρτωμα εικόνας αυτήν τη στιγμή"
"Remove image","Κατάργηση εικόνας"
"Select attribute","Επιλέξτε χαρακτηριστικό"
Select,Επιλογή
"Apply single price to all SKUs","Εφαρμογή ενιαίαw τιμήw σε όλα τα SKU"
"Apply unique prices by attribute to each SKU","Εφαρμογή μοναδικών τιμών από το χαρακτηριστικό για κάθε SKU"
"Skip price at this time","Παράληψη τιμής αυτή τη στιγμή"
"Apply single quantity to each SKUs","Εφαρμογή ενιαίας ποσότητας για κάθε SKU"
"Apply unique quantity by attribute to each SKU","Εφαρμογή μοναδικό ποσότητας από το χαρακτηριστικό για κάθε SKU"
"Skip quantity at this time","Παρακάμψετε την ποσότητα αυτή τη στιγμή"
"Step 1: Select Attributes","Βήμα 1: Επιλέξτε χαρακτηριστικά"
"Selected Attributes:","Επιλεγμένα χαρακτηριστικά:"
"Step 4: Summary","Βήμα 4: Περίληψη"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Τα διαμορφώσιμα προϊόντα επιτρέπουν στους πελάτες να επιλέγουν ιδιότητες (πx: χρώμα πουκάμισου).             Πρέπει να δημιουργήσετε ένα απλό προϊόν για κάθε διαμόρφωση (πχ: ένα προϊόν για κάθε χρώμα)."
"Edit Configurations","Επεξεργαστείτε τις ρυθμίσεις παραμέτρων"
"Upload Image","Μεταφόρτωση εικόνας"
"Upload image","Μεταφόρτωση εικόνας"
"No Image","Καμία εικόνα"
"Choose a different Product","Επιλέξτε ένα διαφορετικό προϊόν"
"Create Product Configurations","Δημιουργήστε διαμορφώσεις προϊόντος"
"Buy %1 for %2 each and","Αγοράστε %1 με %2 κάθε και"
save,αποθήκευση
"New Product Review","Νέα Κριτική Προϊόντος"
"Here are the products you're about to create.","Εδώ είναι τα προϊόντα που είστε έτοιμοι να δημιουργήσετε."
"You created these products for this configuration.","Δημιουργήσατε αυτά τα προϊόντα για αυτήν τη ρύθμιση παραμέτρων."
"Disassociated Products","Μη συσχετιζόμενα προϊόντα"
"These products are not associated.","Αυτά τα προϊόντα δεν συσχετίζονται."
"Disable Product","Απενεργοποίηση προϊόντος"
"Enable Product","Ενεργοποίηση προϊόντος"
"An attribute has been removed. This attribute will no longer appear in your configurations.","Ένα χαρακτηριστικό έχει αφαιρεθεί. Το χαρακτηριστικό αυτό δεν θα εμφανίζεται πλέον στις ρυθμίσεις παραμέτρων σας."
"Select options for all attributes or remove unused attributes.","Επιλέξτε Επιλογές για όλα τα χαρακτηριστικά ή καταργήστε τα αχρησιμοποίητα χαρακτηριστικά."
"Choose this option to delete and replace extension data for all past configurations.","Επιλέξτε αυτήν την επιλογή για να διαγράψετε και να αντικαταστήσετε δεδομένα επέκτασης για όλες τις προηγούμενες διαμορφώσεις."
"Please select attribute for {section} section.","Παρακαλώ, επιλέξτε χαρακτηριστικό για την ενότητα {section}."
"Please fill in the values for {section} section.","Παρακαλούμε συμπληρώστε τις τιμές για την ενότητα {section}."
"Please fill-in correct values.","Παρακαλούμε, συμπληρώστε σωστές τιμές."
"Please select image(s) for your attribute.","Παρακαλούμε, επιλέξτε εικόνα(ες) για το χαρακτηριστικό σας."
"Please choose image(s).","Παρακαλώ επιλέξτε εικόνα(ες)."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Όταν καταργείτε ή προσθέτετε ένα χαρακτηριστικό, ενημερώνουμε αυτόματα όλες τις διαμορφώσεις και θα χρειαστεί να δημιουργήσετε μη αυτόματα τις τρέχουσες διαμορφώσεις."
"Please select attribute(s).","Παρακαλώ, επιλέξτε χαρακτηριστικό(α)."
"Generate Products","Δημιουργήστε Προϊόντα"
"Configurable Product Image","Εικόνα Διαμορφώσιμου Προϊόντος"
